"sim_name","me_weight","effect_weight","eta","objective","objective_sd","zero_prop","n_zero","n_nonzero","success_rate","objective_min","objective_increase","objective_increase_pct"
"me_2.5_effect_0.25",2.5,0.25,0.000621016941891562,2.21940585437651,NA,0.259259259259259,4.66666666666667,13.3333333333333,1,1.69041260281298,0.528993251563533,31.2937356644908
"me_2.5_effect_0.25",2.5,0.25,0.000853167852417281,2.37411062639387,NA,0.259259259259259,4.66666666666667,13.3333333333333,1,1.69041260281298,0.683698023580889,40.4456298091461
"me_2.5_effect_0.25",2.5,0.25,0.001,2.44543035659864,NA,0.333333333333333,6,12,1,1.69041260281298,0.755017753785663,44.6647021283002
"me_2.5_effect_0.25",2.5,0.25,0.00117210229753348,2.51545568461906,NA,0.333333333333333,6,12,1,1.69041260281298,0.825043081806083,48.8072012970766
"me_2.5_effect_0.25",2.5,0.25,0.00161026202756094,2.66454454455995,NA,0.444444444444444,8,10,1,1.69041260281298,0.974131941746973,57.6268740617492
"me_2.5_effect_0.25",2.5,0.25,0.00221221629107045,2.75872438323338,NA,0.555555555555556,10,8,1,1.69041260281298,1.0683117804204,63.1982853560513
"me_2.5_effect_0.25",2.5,0.25,0.0030391953823132,2.92314327254208,NA,0.62962962962963,11.3333333333333,6.66666666666667,1,1.69041260281298,1.2327306697291,72.9248390409383
"me_2.5_effect_0.25",2.5,0.25,0.0041753189365604,3.05572662915853,NA,0.685185185185185,12.3333333333333,5.66666666666667,1,1.69041260281298,1.36531402634555,80.7680931905952
"me_2.5_effect_0.25",2.5,0.25,0.00573615251044868,3.24228867983484,NA,0.759259259259259,13.6666666666667,4.33333333333333,1,1.69041260281298,1.55187607702186,91.8045732999986
"me_2.5_effect_0.25",2.5,0.25,0.00788046281566991,3.44638454490433,NA,0.833333333333333,15,3,1,1.69041260281298,1.75597194209135,103.878303981482
"me_2.5_effect_0.25",2.5,0.25,0.0108263673387405,3.70938349823892,NA,0.888888888888889,16,2,1,1.69041260281298,2.01897089542594,119.436573772948
"me_2.5_effect_0.25",2.5,0.25,0.0148735210729351,3.9087871890482,NA,0.962962962962963,17.3333333333333,0.666666666666667,1,1.69041260281298,2.21837458623522,131.232728775429
"me_2.5_effect_0.25",2.5,0.25,0.0204335971785694,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_0.25",2.5,0.25,0.0280721620394118,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_0.25",2.5,0.25,0.0385662042116347,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_0.25",2.5,0.25,0.0529831690628371,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_0.25",2.5,0.25,0.0727895384398315,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_0.25",2.5,0.25,0.1,4.00592208312422,NA,1,18,0,1,1.69041260281298,2.31550948031123,136.978952739588
"me_2.5_effect_1",2.5,1,1e-05,2.7170991487488,NA,0,0,18,1,2.7170991487488,0,0
"me_2.5_effect_1",2.5,1,1.37382379588326e-05,2.71710162872664,NA,0,0,18,1,2.7170991487488,2.47997784263987e-06,9.12729976667166e-05
"me_2.5_effect_1",2.5,1,1.8873918221351e-05,2.71710642280846,NA,0,0,18,1,2.7170991487488,7.27405965772476e-06,0.000267714178228439
"me_2.5_effect_1",2.5,1,2.59294379740467e-05,2.71711547094591,NA,0,0,18,1,2.7170991487488,1.63221971161143e-05,0.000600721439393572
