"XS-VLDL-PL","LDL-D","L-LDL-PL","L-LDL-P","L-LDL-FC","L-LDL-C","M-LDL-P","M-LDL-CE","S-LDL-P","S-LDL-C","IDL-FC","IDL-C","HDL-D","XL-HDL-TG","L-HDL-PL","M-HDL-PL","M-HDL-P","M-HDL-CE","S-HDL-P","ApoA1","ApoB","hdl","ldl","tg","CAD"
0.150317003034105,0.0149505799392159,0.215976704469394,0.151375189135318,0.162704908973621,0.140919344746748,0.127143903201058,0.0928203123908007,0.156666378957563,0.0836392439277724,0.170462629490235,0.134760940864663,0.275873699799625,0.218806534129882,0.631603194941139,1,0.958932121165716,0.865507211057233,0.676565892780432,0.639852257238961,0.0485282355047141,0.170462202284245,0.0514850844905986,-0.00414422524787387,-0.0283465332457365
0.112974965828299,0.00578913581228728,0.15807551798126,0.105703354998801,0.101634671938198,0.083264366760071,0.0862395658794235,0.0492460116665308,0.123186283359407,0.0638615265479075,0.130053782870448,0.0886114020806966,0.2614471715291,0.206828225801593,0.629243972313502,0.958932121165716,1,0.91614621960597,0.709281533534719,0.632512775977697,0.0416331461179222,0.147617193936747,0.0457706626921602,0.00803522014988769,-0.0372199977653668
-0.158032783288143,-0.0373963486693105,-0.0402323995505475,-0.10076580953959,-0.0658019489896077,-0.0798728291999025,-0.108938765663725,-0.126502072371614,-0.0791000724831463,-0.109157429173995,-0.0553327977911769,-0.0917410474786579,0.325492873546704,0.0175126635669484,0.686879008956267,0.865507211057233,0.91614621960597,1,0.623748367802371,0.580100217107062,-0.16066306896276,0.150725194891968,0.0260454320760792,-0.0292709550862568,-0.0514865823832963
0.147575977388537,-0.305930333531107,0.340044585878508,0.309227002800845,0.244869735255744,0.286473514634224,0.374625728772339,0.346399451147257,0.395912121659864,0.320784280645722,0.118394983218212,0.190676376128674,-0.288985218347438,-0.0190026609644061,0.112110012939546,0.676565892780432,0.709281533534719,0.623748367802371,1,0.430237126379414,0.276739897079784,0.0864600853129041,0.0515205065470628,0.0159513862261897,-0.0587824358012952
0.27770572252611,-0.172679025556925,0.402293665434235,0.393626514222303,0.397638844916781,0.384785081395927,0.398217828087446,0.36524194918299,0.450067148723792,0.386538286494476,0.365317037802093,0.384677900864447,0.56113496815452,0.500112238629301,0.671984568383758,0.639852257238961,0.632512775977697,0.580100217107062,0.430237126379414,1,0.295578120757337,0.159243966447752,0.0779386409712493,0.0087421117063555,-0.0117123990276332
0.73632957754279,-0.112199543054688,0.805251193680057,0.810655450161674,0.752273052585091,0.804609533596994,0.825019012864668,0.812279702194101,0.828303765974983,0.82082812361475,0.722851308540828,0.770642430559167,-0.2266887597624,0.483812937136332,-0.24674628500297,0.0485282355047141,0.0416331461179222,-0.16066306896276,0.276739897079784,0.295578120757337,1,-0.00253847543408694,0.0985158335982754,0.0996611284614919,0.0396361137155348
-0.0175822851836339,-0.0573818286518959,0.0201306688901944,0.0144775891485627,0.0161198790501224,0.0071748718597562,0.0228472959063543,0.0141822085128783,0.0362175706120235,0.0318085825666213,0.00234403152828184,-0.00118515841125445,0.120308475109167,0.051695671852214,0.146918371429426,0.170462202284245,0.147617193936747,0.150725194891968,0.0864600853129041,0.159243966447752,-0.00253847543408694,1,-0.103050666883255,-0.416666374991414,-0.0872361042918369
0.144372268796128,0.0836710355973171,0.149668054302307,0.142958219144244,0.16718491230007,0.149089794986631,0.125200413938569,0.126762744468602,0.100425462280767,0.11668391303981,0.172406720076784,0.148206879476289,-0.00279746358519039,0.0588955782679396,0.0492357389346427,0.0514850844905986,0.0457706626921602,0.0260454320760792,0.0515205065470628,0.0779386409712493,0.0985158335982754,-0.103050666883255,1,0.303909201592774,-0.0375637243482875
0.121891773134678,0.034788742867041,0.0610789185464386,0.0732656276017609,0.0518135354704168,0.0650101322448887,0.0651651729840368,0.0648688435153208,0.0638520555497487,0.0574767711733467,0.0979043783706542,0.0836322804759651,-0.046458167641315,0.0587242023617238,-0.031691082777297,-0.00414422524787387,0.00803522014988769,-0.0292709550862568,0.0159513862261897,0.0087421117063555,0.0996611284614918,-0.416666374991414,0.303909201592774,1,0.0342906848839396
0.0226701116501373,0.0174884848889625,0.0314735317123399,0.0118021676064738,0.0255900693303329,0.0254478899714809,0.00803496414469963,0.00145895387554083,0.0160212944879458,-0.000112054489140838,0.0138919192336129,0.0168870637663973,0.0240606505722914,0.0655893220347446,-0.0248699757719427,-0.0283465332457365,-0.0372199977653668,-0.0514865823832963,-0.0587824358012953,-0.0117123990276332,0.0396361137155348,-0.0872361042918369,-0.0375637243482875,0.0342906848839396,1
